instructions_covered,branches_covered,time_taken_nanos
475,31,10116496
475,31,10224451
478,32,10311797
661,38,10467963
661,38,10601085
1106,64,10903598
1109,65,11000372
1112,68,11382747
1115,69,13369974
1180,75,14719011
1180,75,14796268
1259,81,15108339
1262,82,15191737
1339,88,15319890
1342,89,15707445
1656,103,15940016
1697,109,17841601
1700,110,17947211
1757,115,21019184
1760,116,21178115
2001,128,25026431
2001,128,25113746
2004,129,25541487
2071,137,31095205
2074,138,31208420
2357,154,34140457
2360,156,34244134
2363,157,34344063
2363,157,34439063
2532,162,37193795
2657,173,37642185
2660,174,37755189
2898,188,37911936
2901,189,39013445
2965,196,40419300
2968,197,40776176
3035,203,41039355
3035,203,41130508
3275,213,45842610
3275,213,45954152
3278,214,46389617
3323,220,49636673
3323,220,49724870
3384,226,50780791
3387,227,51068216
3391,228,54496275
3391,228,55492644
3477,232,107461989
3477,232,109114251
3477,232,133564159
3477,232,180169186
3478,233,329824409
3478,233,469806295
3478,233,1290366745
3478,233,1834241057
3478,233,5063540949
3478,233,5134873280
3478,233,5404940952
3478,233,5944867921
3478,233,6316327607
3478,233,8312061926
