instructions_covered,branches_covered,time_taken_nanos
478,35,9047461
481,36,9328604
552,44,10210135
676,55,10405846
679,56,10686548
772,64,13289902
775,65,13436911
839,71,15797756
839,71,15864423
902,77,18908293
902,77,18985409
963,82,22117556
1058,91,22414119
1061,92,22509269
1102,98,24984631
1102,98,25048162
1196,109,26334550
1199,110,26712106
1257,115,26923086
1260,116,27670773
1341,125,30455903
1344,126,30624182
1404,131,31157854
1407,132,31364145
1492,138,33093854
1495,139,33246072
1596,146,33673222
1599,147,33746200
1649,154,34734233
1649,154,34845584
1721,162,35054480
1724,163,35182183
1786,169,37574257
1789,170,37911777
1899,183,38635839
1902,184,38734817
1989,193,40780595
1989,193,40992647
2077,203,43911319
2077,203,43992143
2146,207,46844700
2214,214,47268223
2214,214,47350208
2283,219,50041500
2286,220,50312835
2372,228,53696439
2375,229,53931384
2492,238,55593274
2495,239,55730665
2560,245,56169727
2563,246,56526474
2651,256,60746042
2651,256,60947114
2734,266,61372259
2899,279,65917606
2902,280,66082158
2991,290,70792005
3038,293,75821420
3041,294,100983638
3044,295,223306789
