instructions_covered,branches_covered,time_taken_nanos
320,13,9668579
323,14,10435082
412,22,13457581
412,22,13573301
442,24,13738243
907,45,14066365
1108,62,16924073
1111,63,17038940
1395,76,17276481
1395,76,17383263
1398,77,17850449
1692,100,20549194
1695,101,20676105
1695,101,20771596
1698,102,21041327
1759,107,24636632
1762,108,25057731
1987,116,26763013
1987,116,26917105
1990,117,27283079
2058,123,31482550
2061,124,32413905
2101,129,33370960
2104,130,33560970
2106,131,34850354
2109,132,42567674
2125,135,46671092
2125,136,47594522
2125,136,48279551
2125,136,58909411
2125,136,123568482
2126,137,144073472
