instructions_covered,branches_covered,time_taken_nanos
546,28,8049819
602,34,8253325
602,34,8328898
674,42,10021537
677,43,10498161
790,49,12236406
793,50,12604624
851,55,14509896
854,56,14629342
921,61,17232707
924,62,17344208
986,67,20766165
989,68,20864872
1056,74,21248519
1059,75,21329372
1099,80,22728735
1102,81,22800822
1165,86,24349748
1168,87,24796164
1307,92,25700779
1310,93,26323099
1385,101,28437557
1506,108,28618700
1509,109,28940841
1570,114,29125401
1573,115,29398268
1633,121,30676672
1636,122,30980738
1637,123,31335861
1639,124,34415289
1642,125,77669212
