instructions_covered,branches_covered,time_taken_nanos
177,6,8624039
319,13,12660580
322,14,13328186
429,19,14644682
432,20,14858116
516,25,16259333
519,26,16848560
592,31,18112896
595,32,18239216
751,39,20809157
754,40,21200248
853,44,23677715
999,49,26141134
1002,50,26231015
1088,55,27448984
1091,56,27657068
1177,61,28840421
1180,62,28950781
1278,67,29296296
1281,68,29398970
1357,73,31977298
1360,74,32168490
1461,80,35366943
1461,80,35489105
1555,87,39492775
1555,87,39583817
1641,92,42573755
1644,93,42859817
1744,99,46467115
1850,106,46947716
1850,106,47032527
1947,110,50497255
1951,111,50858269
1954,112,112917842
