instructions_covered,branches_covered,time_taken_nanos
284,15,8339418
765,37,8658864
765,37,8776898
765,37,8887918
768,38,9276855
771,39,10477551
873,47,10922455
873,47,11016744
876,48,11178891
1223,63,11423344
1263,69,14241867
1263,69,14548038
1266,70,14970699
1453,82,17130213
1456,83,17361090
1456,83,17526634
1459,84,17900683
1721,98,18571665
1721,98,18774810
1759,102,18956344
1762,103,19151304
2038,116,22662861
2038,116,23071525
2080,119,24218008
2083,120,24442323
2351,135,25309717
2351,135,25925495
2389,139,26101999
2392,140,27025450
2395,141,29352411
2436,146,29644094
2436,146,30686490
2524,155,30881349
2527,156,31063274
2557,158,31576327
2725,167,31716723
2891,175,33252765
2894,176,34020340
2964,180,34215841
3118,188,34562848
3118,188,34856876
3121,189,35192272
3223,197,35612658
3291,203,36314399
3291,203,36429216
3295,204,37480229
3295,204,37636134
3298,205,38685594
3301,206,51240783
3304,207,71610938
3304,207,79303210
3307,208,107816671
3416,214,108414434
3419,215,109336412
3422,216,146885551
3466,219,153366196
3469,220,161328861
3504,223,232197722
3507,224,236808592
3510,225,239705684
3545,228,254652708
3546,229,447292202
