instructions_covered,branches_covered,time_taken_nanos
325,22,8506706
325,22,8598059
328,23,8679283
463,39,8823366
463,39,8944265
534,43,9037392
578,45,9126340
660,57,12095900
724,63,12345232
724,63,12499044
785,68,14231148
788,69,14688144
848,74,15165689
851,75,15705262
921,82,18196674
924,83,18532210
986,90,23457858
986,90,23556234
1057,101,25028515
1165,111,25218295
1168,112,25337381
1207,117,25488246
1207,117,25650985
1269,123,30272055
1272,124,30420456
1346,130,33529330
1349,131,33802077
1450,139,37482133
1450,139,37604615
1511,148,43398718
1514,149,43657579
1585,156,45245439
1588,157,45454465
1590,158,47613027
1593,159,64788385
