instructions_covered,branches_covered,time_taken_nanos
959,57,10355941
961,58,10497028
1004,64,12413711
1005,65,12679325
1025,69,15061631
1155,77,15656699
1155,77,15925449
1194,81,16261195
1197,82,17747943
1249,89,20893146
1250,90,21169980
1336,97,25511891
1336,98,25826397
1336,98,26013131
1369,104,28638057
1437,107,29461207
1502,112,30979796
1831,129,33034541
1831,129,33170489
1834,130,34495260
1918,136,36104811
1918,136,36215020
1974,143,36878949
1974,143,37332488
1986,145,38228267
2050,153,38676967
2053,154,39317411
2113,160,39739050
2143,162,39873145
2143,162,40083604
2851,206,46948317
2851,206,47079285
2854,207,48316600
2872,212,49674043
3286,224,49869935
3324,229,53672954
3327,230,53769286
3446,234,55982131
3502,236,56328989
3560,241,63995933
3563,242,64142390
3669,253,68681234
3669,253,68777246
3727,262,72551541
3824,267,72710482
4216,300,73013306
4228,302,76074359
4333,308,76683073
4333,308,76828869
4397,314,81050542
4397,314,81157855
4470,321,85086593
4470,321,85202563
4533,326,89975249
4536,327,90433909
4744,338,92052968
4747,339,92215837
4747,339,92398172
4855,348,95465587
4855,348,95580645
4908,353,102176389
4948,355,102293921
4951,356,102797226
4988,360,104150210
5029,362,104398291
5073,368,105269111
5180,373,105794387
5184,376,106988060
5480,384,113202740
5515,387,113412798
5531,389,113556280
5588,406,113731533
5591,407,114410049
5703,416,121235798
5703,416,121364342
5703,416,121591302
5771,420,123140609
5771,420,123330780
5774,421,123643763
5938,429,127339298
5938,429,127486698
5983,432,131641333
6034,436,133403103
6034,436,133516668
6074,438,133736565
6077,439,133989574
6135,443,134236472
6135,443,134334669
6138,444,134503789
6138,445,135857055
6141,446,166527294
6631,465,200520543
6631,465,213162307
6631,465,216658374
6631,465,226255948
6635,468,229339843
6744,471,242715138
6747,472,244996904
7158,490,272818763
7158,490,276418046
7165,491,315573200
7168,492,344418109
7168,492,344615253
7227,497,354066409
7266,500,364074841
7305,502,382146158
7308,503,423827580
7308,503,591492802
7639,511,600432197
7685,513,736770965
7740,516,770165750
7743,518,822861842
7743,518,824327530
7744,519,876605009
7747,520,931315470
7759,522,1313169023
7759,522,1943569830
7815,524,2187958901
7815,524,2402674923
7922,528,2690149920
8283,536,3081844538
8286,537,3529489266
8289,538,3937172734
8292,539,4396376765
8295,540,5272506180
8298,541,5292727462
8301,542,5295047991
8304,543,6880925958
11527,700,6885489439
