instructions_covered,branches_covered,time_taken_nanos
572,35,9515146
572,35,9612531
577,37,10095998
580,38,10201047
673,46,14559569
1038,61,14787281
1038,61,14893793
1039,62,15227014
1080,69,20424948
1083,70,20597264
1140,75,22815990
1143,76,23294497
1251,81,23837015
1254,82,24428627
1291,89,26915691
1294,90,27033144
1401,95,28383283
1404,96,28754898
1481,102,31860746
1484,103,32030157
1512,105,32251687
1673,113,32745693
1746,122,35057686
1810,128,35406467
1813,129,35663094
2133,155,36535547
2133,156,36646017
2133,156,36779039
2133,157,38334768
2136,158,87634261
2136,158,127118719
2137,159,154819941
2137,159,592238083
