instructions_covered,branches_covered,time_taken_nanos
590,26,8534068
590,26,8683932
590,26,9134756
593,27,10384766
702,35,13915699
702,35,14125517
942,42,16428673
987,49,17108081
987,49,17207770
1069,54,19912677
1072,55,20140579
1137,60,22267832
1380,68,22431602
1383,69,22853542
1503,74,24723717
1626,79,27475373
1629,80,27747048
1713,85,33790795
1716,86,33935109
2050,99,34236049
2053,100,34449604
2053,100,34616079
2136,105,39049694
2139,106,39450504
2239,111,40772049
2357,120,43502886
2360,121,47548835
2486,130,51987780
2486,130,52098069
2489,131,54170137
2492,132,54515351
2797,145,54894891
2800,146,55060394
2800,146,55193998
2923,153,61440689
2923,153,61649174
2936,155,61825138
2948,157,63964724
3092,164,64677495
3209,170,68632392
3271,175,68859582
3514,183,69093456
3517,184,69365331
3521,185,70344357
3524,186,186096580
4461,204,189241231
4464,205,197815424
4532,210,486915381
4532,210,649502866
4535,211,876979948
4538,212,1558963335
4541,213,2217912667
