instructions_covered,branches_covered,time_taken_nanos
359,30,8796836
362,31,8994050
427,37,11679320
427,37,11847048
528,44,12648407
531,45,12733118
591,50,15854064
594,51,16170594
667,57,17245581
667,57,17334570
728,62,20582808
731,63,20784811
782,68,20974901
785,69,21344592
845,76,22153475
848,77,22380886
907,82,22865315
910,83,23073349
971,89,24155751
974,90,24340020
1076,95,27208097
1079,96,27577898
1142,102,28163698
1145,103,28374127
1396,111,29085636
1460,116,33171010
1463,117,33421205
1527,122,35809832
1530,123,36259314
1603,132,37544982
1606,133,37700386
1648,140,39049674
1651,141,39155154
1693,146,42862291
1696,147,42944096
1756,153,46652416
1989,158,46921106
1992,159,47107258
2524,181,47604080
2725,186,51968243
2728,187,52141421
2784,194,56734067
2787,195,57412894
2847,200,59800109
2850,201,60093375
2949,210,61801653
2952,211,62348099
3056,217,63904630
3059,218,64587324
3148,227,69876961
3151,228,70399111
3217,234,74405275
3217,234,74483804
3221,235,77734606
3224,236,163898481
