instructions_covered,branches_covered,time_taken_nanos
509,34,9548090
593,42,9714044
956,57,9875831
959,58,9986250
959,58,10071822
993,64,12043610
994,65,12270881
1054,71,12870037
1057,72,13332624
1167,77,15992085
1170,78,16414566
1279,84,19985214
1282,85,20064134
1326,92,22840266
1326,92,22966826
1441,98,25408154
1441,98,25513264
1610,103,28776169
1613,104,29229699
1722,112,29369884
1883,120,29488359
1883,120,29598979
1886,121,29838853
2318,157,31361841
2390,166,32018686
2393,167,32274521
2457,173,34546478
2460,174,34798315
2579,179,35585196
2582,180,35678423
2582,183,38164866
2585,184,38323627
2625,185,39795637
2628,186,40145300
2633,188,40383782
2633,188,145434309
2633,188,191259447
2636,189,400972324
2636,189,599304998
