instructions_covered,branches_covered,time_taken_nanos
592,54,9321751
595,55,9438963
779,73,12726224
782,74,13086077
837,79,13368692
840,80,13685924
1176,95,14486030
1338,108,18182748
1341,109,18268611
1343,110,18681013
1608,122,21238320
1611,123,21331207
1611,123,21623761
1611,123,24995993
1669,133,26355490
1692,136,26565809
1694,137,26654477
1907,145,27178380
1907,145,27376175
1909,146,27629365
1964,152,32842648
1967,153,33185047
2013,157,34518154
2013,157,34696762
2013,157,70471127
2043,159,71404957
2202,168,74887770
2203,169,219330148
2203,169,1350058715
