instructions_covered,branches_covered,time_taken_nanos
529,31,8869774
599,37,8998658
601,38,9136800
845,49,10523048
921,52,10639348
924,53,10723628
927,54,11062891
967,60,14189629
967,60,14316108
1172,73,16799856
1254,80,17285226
1254,80,17362302
1349,87,20764962
1352,88,21077495
1591,99,22275195
1594,100,22385525
1898,114,24482279
1898,114,24638656
1901,115,24770476
2012,121,25212744
2015,122,25337751
2072,131,26091770
2075,132,26191509
2401,155,30153089
2401,155,30266073
2404,156,30706799
2445,159,31313399
2491,163,34896601
2549,167,37501549
2549,167,37590287
2552,168,38042043
2552,169,40643735
2553,170,41364051
2556,171,65070369
2556,171,141612925
2556,171,173404429
