instructions_covered,branches_covered,time_taken_nanos
321,21,8561910
321,21,8651038
326,23,8929406
329,24,9166045
425,32,12705635
425,32,12796717
790,47,13015562
793,48,13305722
838,55,13937310
838,55,14043030
902,61,14720584
905,62,14829631
948,69,15222556
951,70,15448815
1012,75,17899080
1015,76,18192516
1092,82,19395967
1095,83,19480427
1283,92,19636423
1286,93,19779454
1718,129,22854843
1721,130,23313783
1799,140,26787048
1802,141,27370053
1885,150,30332308
1885,150,30434903
1891,153,33856569
1894,154,49191127
1934,155,56129420
1950,157,59841076
2027,161,62038892
2030,162,62720985
2082,164,66810968
2336,175,67645239
2336,175,70311032
2374,179,80905266
2374,180,84409357
2377,181,88959363
2384,182,115163476
2387,183,118679751
2387,183,119572604
2417,185,141702895
2420,186,145161992
2420,186,148843620
2537,197,256318302
