instructions_covered,branches_covered,time_taken_nanos
508,35,10059699
548,36,10179987
551,37,10290787
633,45,10448957
633,45,10545410
663,47,10679043
999,61,10840680
1033,67,13616151
1033,68,13844093
1094,74,14615606
1209,81,15211285
1209,81,15297939
1322,88,19063116
1322,88,19147295
1361,94,22314099
1364,95,22461799
1476,101,25428392
1476,101,25568628
1650,107,25852827
1650,107,26029853
1727,113,27996861
1730,114,28088355
1918,123,28257976
1921,124,28390568
2358,159,29033897
2384,163,29138195
2387,164,29246460
2397,168,29595442
2442,175,34447890
2445,176,34526489
2517,183,38122636
2520,184,38291596
2584,190,39426397
2587,191,39650482
2705,196,41434714
2707,199,41759510
2712,201,42902326
2715,202,63142915
2715,202,111279604
2718,203,131093072
2718,203,162005210
2721,204,193655407
2721,204,3990487727
