instructions_covered,branches_covered,time_taken_nanos
508,34,9574629
593,42,9745834
956,57,9903192
959,58,10005486
959,58,10090227
993,64,11922891
993,65,12125184
1054,71,12646152
1057,72,12998169
1166,77,15383200
1169,78,15858712
1279,84,19498681
1282,85,19577481
1327,92,22599419
1327,92,22799058
1442,98,25494678
1442,98,25617601
1611,103,29185905
1614,104,29695932
1723,112,29906150
1884,120,30104146
1884,120,30249080
1887,121,30545672
2319,157,32435474
2322,158,32940141
2400,167,33154898
2403,168,33400975
2469,174,36869269
2472,175,37113372
2590,180,39691680
2593,181,40432364
2594,184,44244100
2634,185,51373424
2637,186,51511676
2642,188,54129859
2642,188,162102805
2642,188,220480156
2645,189,433322373
2645,189,631047946
