instructions_covered,branches_covered,time_taken_nanos
355,19,9588546
458,28,9886942
458,28,9980068
829,44,10116968
832,45,10295366
890,55,12605936
890,55,12689744
960,60,15368152
963,61,15500623
1237,75,15733885
1279,78,15837662
1279,78,15975132
1320,84,18487305
1323,85,18735004
1365,90,21050123
1368,91,21306529
1410,97,22439467
1410,97,22523907
1504,107,25148171
1504,107,25236539
1534,109,25341257
1702,118,25608444
1958,129,26632495
1961,130,26738286
2028,136,30462715
2031,137,30663316
2035,138,31451199
2038,139,33126034
2038,139,62397532
2038,139,100448973
2039,140,459636505
