instructions_covered,branches_covered,time_taken_nanos
149,13,8667780
498,54,8823776
501,55,8930809
504,56,9261846
521,58,9372566
616,61,9473658
619,62,9847998
619,62,10403591
688,66,12946742
691,67,13227253
937,78,14983162
937,78,15097399
998,82,15317706
998,82,15449236
1178,86,16385050
1178,86,16492433
1181,87,17400394
1217,91,19117369
1217,91,19346413
1220,92,19525282
1278,96,21282283
1281,97,21764197
1340,102,24697867
1340,102,24839786
1409,106,28702889
1412,107,29757769
1702,118,32709986
1705,119,32938258
1708,120,33100967
1708,120,33496617
2054,128,34880009
2057,129,35949897
2113,133,40084825
2116,134,41140927
2247,138,43743691
2247,138,43844672
2836,157,44949236
2836,157,47843032
2839,158,48554681
2839,158,49551110
2839,158,50551997
3016,162,54357982
3019,163,54910068
3099,167,55173708
3102,168,55467685
3250,174,57631597
3250,174,57796089
3250,174,58085397
3303,177,58837704
3470,184,59121411
3470,184,59223164
3473,185,59323635
3473,185,59424666
3531,189,60053578
3531,189,60132789
3534,190,60727316
4015,207,61855504
4031,209,61990811
4034,210,62078076
4037,211,62650812
4037,211,63107658
4040,213,63854874
4040,213,64030277
4126,216,65973761
4129,218,78909653
4132,219,84481073
4132,219,144997369
4132,219,147556621
4132,219,152321894
4132,219,152747871
4132,219,153971330
4132,219,157735075
4132,219,159356178
4132,219,161316073
4132,219,162380331
4132,219,167166834
4132,219,180173891
4132,219,184134979
4132,219,203796961
4135,220,224809523
4248,224,225116204
4251,225,226663006
4254,226,230837379
4254,226,242540273
4271,228,243456319
4322,231,250236663
4322,231,270468815
4322,231,273709708
4322,231,303056909
4344,233,305109711
4344,233,391662402
4344,233,413371153
4344,233,437419580
4344,233,461144784
4344,233,487679754
4344,233,491134763
4344,233,534461504
4347,234,588159746
4347,234,656337795
4350,235,1026188731
4368,239,1032290918
4368,239,1042976964
4371,240,1054190962
4371,240,1312964518
4371,240,3211858523
4371,240,4017079823
4371,240,4088691632
4371,240,4251050502
4371,240,5899344866
4372,241,6725008629
4372,241,6900554195
4372,241,7907138172
4372,241,7967472212
4372,241,8419423859
4372,241,9343082692
