instructions_covered,branches_covered,time_taken_nanos
221,15,8801744
224,16,9301932
291,22,10357213
294,23,10550299
375,29,10949295
375,29,11026702
444,34,14259611
447,35,14368447
548,40,15926100
551,41,16224325
659,50,17505263
662,51,17591065
730,58,20027083
730,58,20127143
812,66,22077239
812,66,22184693
815,67,22271568
897,74,24096908
900,75,24321774
947,82,24776486
947,82,24845868
1032,89,25203195
1032,89,25314406
1035,91,25409536
1105,97,29640908
1108,98,29730578
1181,105,30284407
1184,106,30445473
1257,111,34425738
1260,112,34768698
1301,118,36791973
1301,118,36897152
1357,124,40046603
1360,125,40246742
1519,138,42421414
1519,138,42607678
1578,143,43117013
1581,144,43412704
1642,149,43873217
1645,150,44249500
1654,152,45540928
1659,153,45898275
