instructions_covered,branches_covered,time_taken_nanos
831,56,9155424
834,57,9254633
943,64,10523648
943,64,10671829
1025,70,10943694
1025,70,11029918
1485,97,14194757
1485,97,14280760
1488,98,14373256
1490,99,14450843
1537,106,18014228
1537,106,18099309
1642,113,20185734
1642,113,20270785
1645,114,20438403
2037,137,20719726
2078,142,20963137
2081,143,21037348
2152,148,23630954
2155,149,23763766
2351,164,24426583
2354,165,24831550
2354,165,25005751
2504,181,28457093
2507,182,28533779
2552,188,30267505
2789,198,31466969
2831,201,31562600
2834,202,31749394
2834,202,32902770
2907,209,34391432
2922,211,34479659
2925,212,34584007
2963,218,36645585
2966,219,36727240
3011,225,39008885
3052,230,39157968
3055,231,39384898
3181,241,39580359
3184,242,39793372
3259,250,42784202
3450,260,42952681
3453,261,43069583
3453,261,43216191
3694,272,45956185
3694,272,46109756
3697,273,46312891
3764,280,47429788
3767,281,47621551
3767,282,51189254
3770,283,81784010
3817,290,88996232
3908,294,89264721
3960,300,90266139
3960,300,100686703
3960,300,109048884
3960,300,112275551
3960,300,112460592
3963,301,119060943
3963,301,161256910
3966,303,166771544
4256,320,167538508
4329,323,167874485
4331,324,175647048
4331,324,341126914
4331,324,367676472
4331,324,371924976
4331,324,563975760
4331,324,591088295
4332,325,770129588
4332,325,798867464
4332,325,1017690489
4332,325,1071517564
4332,325,1087949211
4332,325,1094659452
4332,325,1241413611
4332,325,1319317978
4332,325,1421416317
4332,325,1519434291
4332,325,1574340061
4332,325,1639721079
4332,325,2094511786
4332,325,2122465055
4332,325,2189332390
4332,325,2470139061
4332,325,2510398648
4332,325,2703450329
4332,325,2710343445
4332,325,2832031379
4332,325,2839103054
4332,325,3065485829
4332,325,3070480627
4332,325,3084967628
4332,325,3180587076
4332,325,3434314826
4332,325,3463045198
4332,325,5433981253
4332,325,6788453319
4332,325,6805990944
4332,325,7409963803
4332,325,7474968648
4332,325,7664035004
4332,325,7900014581
4332,325,7904033489
4332,325,9273431740
4332,325,9698722056
4332,325,9850892943
