instructions_covered,branches_covered,time_taken_nanos
376,23,9222673
376,23,9325528
379,24,9895519
384,26,10458506
477,33,13409390
842,48,13564283
845,49,13697506
848,50,14123654
891,56,16735945
894,57,16851354
954,63,19707177
957,64,20091626
1004,72,22164225
1004,72,22259846
1078,78,25052380
1081,79,25159393
1111,81,25277527
1272,89,25689388
1705,125,27001806
1708,126,27247061
1787,135,34147992
1790,136,34295331
1852,142,35851731
1855,143,36269553
1861,146,38713306
1864,147,142190128
1864,147,253301482
1864,147,278475472
1864,147,299441897
