instructions_covered,branches_covered,time_taken_nanos
163,9,8682378
164,10,8836030
357,19,11422062
357,19,11520689
476,25,13360596
479,26,13555927
599,33,15638615
602,34,15758953
717,39,18607773
720,40,18871954
799,45,23036678
802,46,23114165
905,51,24918916
908,52,25066637
1007,57,26930981
1010,58,27230879
1114,64,28975627
1114,64,29053254
1234,71,32227251
1234,71,32313063
1337,76,35229231
1340,77,35470438
1438,82,37086091
1441,83,37408011
1442,84,39300909
1499,87,272799472
1499,87,306428269
1499,88,307331772
1556,91,309444788
1556,91,316558773
1780,97,317679007
1818,98,324022020
1818,99,810232517
