instructions_covered,branches_covered,time_taken_nanos
472,29,8480716
473,30,9041619
844,48,11613314
844,49,11739554
844,49,11883206
896,52,12136135
961,58,16881561
964,59,17140351
1048,68,19847994
1051,69,20150026
1150,73,20288379
1247,83,22547942
1437,89,22697696
1440,90,22870544
1440,90,23349902
1775,109,27476004
1778,110,27581855
1781,111,27733813
1781,111,27919364
1842,117,32138321
1845,118,32439342
1903,124,34117353
1906,125,34778727
2167,137,35568494
2202,140,35711545
2205,141,35823668
2217,144,36262329
2217,145,38627242
2258,148,39276132
