instructions_covered,branches_covered,time_taken_nanos
376,23,9892763
376,23,10021958
379,24,10574175
384,26,10746171
477,33,13832641
842,48,13993987
845,49,14139753
848,50,14613572
891,56,17429560
894,57,17548445
954,63,20643713
957,64,21070281
1001,71,23258329
1004,72,23399106
1078,78,23572976
1266,87,23696870
1269,88,23851003
1272,89,24145691
1705,125,27020079
1784,134,27470634
1787,135,27671164
1849,141,31209281
1852,142,31304622
1858,145,33914890
1861,146,34373920
1864,147,53995625
1864,147,105603162
1864,147,117313270
1864,147,182658820
