instructions_covered,branches_covered,time_taken_nanos
399,30,8151081
401,31,8240771
584,42,11495280
584,42,11575312
587,43,11749091
590,44,12153278
629,49,12924239
632,50,13024128
805,56,14197373
808,57,14301560
900,64,18023135
903,65,18410068
972,71,19722275
972,71,19804982
1015,74,19948173
1075,79,21086712
1078,80,21196129
1134,89,23409585
1137,90,23780398
1207,98,24602897
1210,99,25123304
1286,105,27988054
1286,105,28082192
1351,110,32001472
1354,111,32126819
1397,114,32375000
1482,121,32545763
1485,122,32658698
1549,130,35693030
1552,131,35914369
1554,132,36315830
