instructions_covered,branches_covered,time_taken_nanos
473,33,8860777
473,33,8945918
559,36,9115129
586,43,12440703
586,43,12526716
605,46,12641323
664,52,12848205
664,52,13150809
723,58,14452166
726,59,14719022
856,74,16374720
856,74,16461565
901,81,19881558
904,82,20051771
993,90,23063730
996,91,24698699
1074,99,26118911
1093,104,26219752
1093,104,26306467
1096,105,26394944
1212,110,26717326
1215,111,26819249
1338,117,29390383
1338,117,29497736
1520,126,29914096
1523,127,30721626
1523,128,30898752
1590,136,32587353
1593,137,32831837
1597,138,35383433
1793,150,51872670
1793,150,72734997
1831,152,91303416
1831,153,94559638
1943,161,168203598
