instructions_covered,branches_covered,time_taken_nanos
435,30,8589202
591,39,8772650
591,39,8888870
707,48,13646238
707,48,13745286
1009,62,15972909
1012,63,16139464
1015,64,16319035
1015,64,16540835
1052,69,21949328
1055,70,22097078
1248,82,24151382
1248,82,24247294
1251,83,24337785
1552,97,25203977
1555,98,25365734
1558,99,25713653
1611,106,31474103
1614,107,31637442
1617,108,31816101
1897,123,35008062
1897,123,35179266
1913,125,35316987
1998,131,35609622
2039,134,35848725
2042,135,36543913
2091,141,40579413
2175,147,43311912
2175,147,43421811
2178,148,43544583
2468,160,44264729
2471,161,44367073
2474,162,44706696
2543,169,48131609
2543,169,48275121
2551,171,50494057
2554,172,51318500
2554,172,66823431
2557,173,97865365
2566,176,98380361
