instructions_covered,branches_covered,time_taken_nanos
204,10,9283789
207,11,9510579
305,16,9655413
308,17,9764570
530,24,13327344
533,25,13830638
1038,45,14610736
1038,45,14726686
1041,46,15218649
1178,53,18048503
1178,53,18154724
1273,63,18559402
1408,69,19022449
1411,70,19186530
1504,80,20487096
1598,85,24682479
1601,86,24802516
1732,91,28875537
1735,92,28985225
1828,102,29489601
3215,136,30171824
3216,137,30343900
3216,137,30555211
3217,138,31471468
3220,139,31717494
3300,143,33275147
3301,144,33574324
3408,150,35759426
3408,150,35836793
3503,155,40687157
3506,156,40906293
3622,161,43655724
3625,162,43972765
3754,168,46731154
3757,169,46883774
3889,174,49648474
3892,175,49813748
3987,185,50092286
4486,196,53449399
4604,201,60750079
4607,202,60851972
4611,203,65421313
4612,204,130577033
4613,205,130958106
4614,206,142898800
4615,207,202217595
4616,208,202605641
