instructions_covered,branches_covered,time_taken_nanos
251,19,9137732
251,19,9220098
307,24,12461061
310,25,12649499
386,33,14799023
386,33,14936664
436,39,16211641
436,39,16280231
498,45,16818452
501,46,17469165
579,51,20472388
582,52,20570514
633,58,21592691
633,58,21691418
677,64,22530679
677,64,22648082
738,70,25071967
741,71,25170083
807,78,29421612
810,79,30122471
882,87,31902545
882,87,32023735
920,93,35758705
923,94,35846140
1224,112,37012051
1224,112,37164520
1282,120,37728980
1285,121,37829240
1356,129,42676258
1359,130,42995763
1440,135,43735225
1443,136,44224262
1493,142,46024885
1537,147,48812750
1540,148,48905636
1647,157,49792137
1647,157,50039075
1647,157,50240186
1713,164,53155372
1713,164,53255272
1767,169,54340749
1770,170,54439276
1843,176,58772730
1846,177,58942021
1850,178,62267335
1850,178,119559748
1910,183,207569831
1910,183,208480728
1910,183,294917698
2158,194,303669729
2274,202,340659166
2297,204,342689705
2297,204,344336006
2300,205,350143976
2339,207,371723502
2388,211,385047760
2676,232,700718959
2715,234,714303600
2715,234,745161124
2715,234,884566171
2718,235,899969820
2769,238,1492787169
2769,239,2823936677
2769,239,5381822125
2785,242,8706144515
2785,242,8707893872
2919,253,8708469242
2991,257,8720201993
