instructions_covered,branches_covered,time_taken_nanos
376,23,8272201
376,23,8422696
472,31,8605553
837,46,8777609
837,46,8856278
840,47,9181234
883,53,12977110
886,54,13053645
946,60,15318909
949,61,15699250
1020,66,17892577
1023,67,18213997
1142,72,19121798
1145,73,19268496
1185,80,21919591
1188,81,22054016
1451,96,24903688
1451,96,24987637
1454,97,25124737
1457,98,25218194
1892,134,28176131
1895,135,29206644
1975,145,32683435
1975,145,32771462
2044,152,33789422
2044,152,33865987
2050,155,35377843
2050,155,35495857
2053,156,37088706
2058,158,38377559
2061,159,50787333
2061,159,81553924
2061,159,591266970
