instructions_covered,branches_covered,time_taken_nanos
462,28,8740479
462,28,8886836
463,29,9431218
563,39,11979178
563,40,12087684
907,55,12340864
907,55,12453267
960,63,17502308
960,63,17573503
1202,74,17970596
1244,77,18123696
1244,77,18229597
1367,90,19507599
1367,90,19593913
1370,91,19818449
1538,100,20061850
1759,108,24356060
1993,126,24775054
2003,129,25238082
2006,130,25389599
2069,135,29620579
2072,136,29731049
2111,141,32716448
2114,142,32894135
2116,143,33480085
2119,144,73756013
2119,144,215198823
2119,144,215500505
2120,145,504602598
