instructions_covered,branches_covered,time_taken_nanos
433,29,8204172
433,30,8345009
553,39,10014213
555,40,10232968
858,55,12778353
858,56,12874626
1061,71,16453019
1061,71,16621197
1064,72,16756344
1362,87,19508591
1365,88,19806556
1456,96,21003114
1459,97,21143761
1740,112,22765555
1740,113,22908405
1835,121,28741493
1838,122,29064385
1912,133,29597245
1912,134,29758931
2347,153,32859669
2350,154,32952295
2442,163,34315359
2510,172,34454292
2510,173,34532681
2630,183,36433875
2633,184,36514467
2781,193,38332614
2781,193,38421823
2784,194,38838472
2870,199,39874547
2873,200,40078042
2933,208,41214186
2933,209,41346437
3082,220,44792680
3085,221,44968964
3086,222,49486407
3089,223,88759273
3089,223,288291106
3089,223,378042640
3089,223,390725853
3089,223,404236784
3089,223,411664734
3089,223,964108120
