instructions_covered,branches_covered,time_taken_nanos
376,23,9093407
376,23,9188758
379,24,9867435
384,26,9974638
480,34,13020302
845,49,13341500
848,50,13551869
848,50,13651628
894,57,16582053
894,57,16694085
954,63,20252631
957,64,20573088
1001,71,22469153
1004,72,22649034
1078,78,26083524
1266,87,26216576
1269,88,26330722
1272,89,26679393
1705,125,28252205
1708,126,29194110
1790,136,29960754
1790,136,30079859
1852,142,31899088
1855,143,32096502
1861,146,33181780
1864,147,56206074
1864,147,108346362
1864,147,195488429
1864,147,225157861
