instructions_covered,branches_covered,time_taken_nanos
466,32,8783570
466,32,8878510
468,33,9204027
471,34,10026506
617,46,13898075
617,46,14113143
620,47,14527829
679,52,18610438
682,53,19547324
725,59,21144963
728,60,21450652
791,66,22205643
833,72,22614248
836,73,22749955
968,93,23691279
971,94,23984886
984,96,24106306
984,96,24506485
1071,101,24639186
1071,101,25613844
1118,109,26926542
1118,109,27021211
1181,114,28471821
1184,115,28620343
1247,120,32578666
1250,121,32853908
1258,123,34678467
1261,124,56663301
1273,126,110205957
1303,129,178123251
