instructions_covered,branches_covered,time_taken_nanos
376,23,8881997
376,23,8972719
381,25,9474340
384,26,9632420
507,35,12474166
510,36,12593933
848,50,12806025
848,50,12993020
894,57,16019086
894,57,16132761
954,63,19315745
957,64,19833647
1001,71,23621357
1004,72,23741054
1078,78,24414811
1266,87,24533686
1269,88,24718076
1272,89,24971256
1705,125,27730506
1708,126,28110426
1790,136,30080090
1790,136,30173127
1852,142,32544712
1855,143,33050802
1861,146,35776298
1861,146,75550274
1861,146,157422180
1864,147,193453662
1864,147,388495885
