instructions_covered,branches_covered,time_taken_nanos
1521,82,9947467
1521,83,10074387
1614,92,12948445
1614,93,13061760
1704,102,15747331
1706,103,15976566
1747,110,18595390
1747,110,18848620
1815,120,20758491
1816,121,20997404
1860,128,23284449
1917,136,24091007
1919,137,24282891
1965,144,26330483
2030,150,29795130
2031,151,30249031
2102,158,31566548
2105,159,32001182
2149,164,36247090
2152,165,36347811
2213,172,39467515
2214,173,39576742
2279,181,42050992
2279,182,42161692
2318,188,45097026
2374,195,46515225
2374,195,46582111
2442,202,49062684
2443,203,49175758
2512,210,51259438
2596,216,53736333
2599,217,53849037
2684,223,54253113
2687,224,54423336
2747,229,54871385
2750,230,54951958
2847,238,56208650
2850,239,56698999
2909,246,60909781
2912,247,60995714
2976,254,61443463
2976,254,61542210
3075,262,62081733
3078,263,62364339
3229,270,64500839
3232,271,64580460
3235,272,65040862
3334,284,69188504
3334,284,69282633
3459,289,74114492
3462,290,74457272
3544,296,79040740
3547,297,79301525
3643,306,82976050
3646,307,83137897
3729,318,87800105
3732,319,87956000
3734,320,90363043
