instructions_covered,branches_covered,time_taken_nanos
261,15,8782187
393,26,8938513
393,26,9023735
779,43,9169571
782,44,9547197
863,49,11010421
866,50,11130318
908,56,12915082
911,57,12983822
1035,62,14663215
1038,63,14786900
1068,65,15349947
1319,77,15643474
1331,79,15746910
1369,82,16020999
1372,83,16146137
1375,84,16251326
1408,86,16501200
1482,91,18585060
1485,92,18966783
1568,100,20649954
1568,100,20917290
1571,101,21015036
1657,108,23562505
1657,108,23759949
1660,109,23908932
1973,124,24450909
1976,125,24541000
1976,125,24709239
2031,133,24826822
2031,133,24906743
2075,139,25884537
2075,139,25988804
2232,151,26768883
2262,153,26955958
2265,154,27047942
2265,154,27186144
2268,155,27377717
2448,165,27482396
2706,176,27751386
2706,176,27863017
2709,177,28014765
2777,183,31314730
2780,184,31562369
2784,185,34528211
2787,186,35671028
2787,186,35798399
2787,187,57245945
2787,187,93395611
2788,188,176506396
2788,188,300291754
