instructions_covered,branches_covered,time_taken_nanos
649,38,12464488
674,40,12817247
677,42,12977661
680,43,13066038
705,45,13232704
860,57,13529076
860,58,13883668
957,65,15849314
960,66,15937271
1210,75,18694647
1213,76,19008001
1259,82,20072770
1262,83,20235017
1307,89,23766191
1307,89,23993673
1487,98,26952161
1490,99,27221000
1698,112,30435423
2012,129,30640642
2037,131,30791188
2040,132,30881559
2043,135,30966260
2068,137,31471207
2145,143,32622750
2205,148,36346950
2208,149,36563169
2286,158,37124083
2369,164,37413762
2372,165,37636795
2457,171,40410482
2460,172,40586736
2592,180,42345510
2595,181,42463744
2604,182,42548465
2645,186,42630861
2672,189,42860526
2732,195,47206124
2914,204,47385705
2917,205,47813896
2975,209,48246396
2978,210,48556364
3177,224,51185417
3180,225,51496758
3268,232,57618452
3271,233,57709044
3353,240,61160015
3353,240,61262930
3464,252,61956435
3467,253,62113713
3699,265,67088694
3699,265,67202219
3840,276,73035356
3846,278,73124074
3849,279,73273677
3933,287,77106774
3936,288,77314998
4030,296,78141485
4033,297,78871098
4259,310,81050049
4262,311,81223558
4347,317,88727171
4350,318,88910218
4416,325,89183697
4419,326,89263508
4505,334,91222953
4508,335,92011748
4655,345,96312961
4658,346,96599624
4664,348,96964486
4723,354,101636342
4726,355,101748004
4819,361,103356573
4822,362,103460560
4982,371,105597872
4985,372,105682031
4994,373,105775168
5060,379,106349266
5063,380,108001188
5063,381,109016843
5232,390,110803189
5232,391,110937824
5235,392,111162300
5301,398,112377283
5301,399,112773854
5304,400,113791323
5404,408,116096433
5404,408,116186604
5544,415,119329832
5547,416,119622416
5751,426,121172525
5754,427,122889920
5817,433,127261618
5820,434,127406192
6014,445,130842405
6017,446,132585660
6144,451,133896094
6147,452,134189370
6223,457,136459543
6228,459,136592445
6231,460,136736298
6327,466,144531374
6330,467,144827796
6420,474,145727321
6423,475,146075020
6462,480,148916427
6462,480,149062053
6555,488,153428209
6555,488,153517598
6645,495,154256068
6648,496,154686233
6734,503,156033197
6734,503,156125281
6939,513,156932131
6942,514,157176875
7003,521,158321475
7006,522,158725631
7153,531,164159511
7156,532,164265021
7250,538,170178892
7253,539,170326021
7345,545,170982866
7348,546,171142278
7453,556,174337425
7456,557,174681226
7460,558,179634245
7463,559,222671597
7466,560,222765836
7482,564,222867117
7485,565,223227270
7488,566,252633172
7491,567,276373685
7491,567,576196329
7491,567,576869856
7491,567,580243542
7491,567,586482728
7491,567,587319665
7491,567,601522117
7491,567,1324052528
7491,567,1386068917
7491,567,1977400958
7491,567,2066664035
7491,567,2098991906
7491,567,2130961968
7491,567,2806036542
7491,567,2813693696
7491,567,2818874237
7491,567,2876916612
7491,567,3414099427
7491,567,4679074629
