instructions_covered,branches_covered,time_taken_nanos
591,40,10122828
594,41,10420433
692,48,15206385
695,49,15368682
756,54,19654527
759,55,20147251
827,61,22874461
962,66,23077606
965,67,23849980
1155,78,29692014
1158,79,31231612
1241,85,34389849
1244,86,34502914
1307,91,37783362
1310,92,37978912
1356,100,40840867
1356,100,40961927
1427,105,42811714
1430,106,43265384
1523,111,43906469
1526,112,44102350
1623,118,49734767
1626,119,50402042
1669,125,53076051
1669,125,53157275
1728,130,55485488
1731,131,55649439
1813,136,57932847
1816,137,58528406
1895,148,60345000
1898,149,60602127
2073,159,62172033
2076,160,62468595
2152,168,66939150
2152,168,67066040
2194,175,71523399
2197,176,71632646
2371,181,73922086
2374,182,74091267
2461,190,77221401
2464,191,77328303
2551,197,82510757
2554,198,82724192
2597,204,85955928
2597,204,86060245
2761,214,88622793
2764,215,88869932
2823,220,90548383
2826,221,90735959
2888,226,93009950
2891,227,93161276
2960,231,94221426
3157,246,94446362
3160,247,94545470
3223,254,99125933
3226,255,99210944
3285,260,100762766
3288,261,101025554
3291,263,103702969
3291,264,104528895
3294,265,117836711
3297,266,216382114
