instructions_covered,branches_covered,time_taken_nanos
194,9,8934416
194,9,9084020
401,24,9302414
401,24,9427441
411,27,9831236
414,28,9968627
567,35,10433077
567,35,10554497
647,41,10711264
650,42,10895884
1014,57,11102456
1017,58,11226701
1316,71,14756993
1319,72,15300604
1379,81,18006373
1379,81,18084090
1502,88,20778568
1505,89,20916529
1505,89,21191461
1676,94,22366047
1679,95,24287019
1918,104,26501406
1960,107,26595224
1963,108,26994882
2523,142,29224207
2526,143,29360686
2526,143,29476065
2526,144,29756486
2529,145,30259740
2583,153,31594130
2583,153,31672859
2636,159,34230868
2636,159,34433232
2796,167,34540876
3037,178,35909621
3040,179,36076447
3040,179,36169694
3274,188,39955690
3277,189,40163584
3343,195,46208653
3343,195,46305547
3347,196,48349562
3350,197,51139039
3464,201,62220926
3464,201,98889054
3464,201,108560207
3464,201,168723934
3464,201,172783138
3465,202,184532120
3635,210,412835973
3635,210,1107490471
3635,210,1549879555
3635,210,1652771708
3635,210,3876976435
