instructions_covered,branches_covered,time_taken_nanos
376,23,8196457
376,23,8341472
470,31,8519008
470,31,8593099
835,46,8807114
838,47,8965314
882,53,10989211
885,54,11122674
950,61,12795385
950,61,12893030
1018,66,15273883
1021,67,15370096
1137,72,17247294
1140,73,17409942
1182,80,21687971
1185,81,21798441
1264,87,22235139
1294,89,22321863
1455,97,22678920
1458,98,22935326
1892,134,24061301
1895,135,24209161
1972,144,27832509
1975,145,27990709
2043,151,29140027
2048,154,29378009
2051,155,31496204
2056,157,31581295
2059,158,40805280
2062,159,71179337
2062,159,82453970
2062,159,103949416
2062,159,222436050
