instructions_covered,branches_covered,time_taken_nanos
403,25,9179882
405,26,9274211
479,33,13155248
482,34,13302186
545,39,15919938
548,40,16246798
1054,66,17220834
1054,66,17309713
1057,67,17409672
1060,68,17694001
1132,73,20054115
1135,74,20469893
1222,81,22440659
1225,82,22569103
1323,88,27065807
1326,89,27341279
1458,97,28443558
1632,107,28572162
1632,107,28678243
1635,108,28782952
1796,121,29409600
1799,122,29496454
1799,122,29828233
2082,135,31772298
2082,135,31932482
2085,136,32139294
2159,141,37830372
2162,142,37965759
2236,149,42148417
2236,149,42239860
2299,154,46731204
2302,155,46920724
2411,162,49410573
2414,163,49497468
2454,168,53268125
2457,169,53356253
2568,178,58112950
2571,179,58195797
2739,189,58294714
2739,189,58528718
2806,195,60859445
2809,196,61062641
3031,204,64357797
3031,204,64499546
3034,205,65202528
3036,206,65536802
3036,206,381911984
3036,206,704324860
3037,207,753466393
