instructions_covered,branches_covered,time_taken_nanos
516,40,9571414
726,73,9876432
729,74,9963377
898,112,10137868
911,113,10633968
911,113,13026984
911,113,14014686
989,120,15439888
990,121,15733024
1159,131,18119107
1162,132,18213456
1162,132,18292215
1252,139,19273806
1252,139,19354308
1257,141,19475468
1363,152,21629281
1366,153,21800054
1388,154,21885847
1615,169,22858821
1708,176,26080979
1711,177,26173755
1805,186,26378062
1808,187,26532625
1841,190,26674024
1971,202,28973803
1971,203,29063623
1971,203,29141802
2316,215,31022506
2316,215,31122536
2316,215,31271448
2319,216,31448624
2352,218,31919487
2442,229,32437889
2467,230,32530294
2467,230,32670240
2470,231,33089074
2471,233,35836893
2472,234,36720077
2474,235,114833579
2497,243,343664962
2520,251,462861381
2543,259,686819797
2566,267,2345113450
2589,275,2842724372
2612,283,4033718761
2635,291,4673923314
2658,299,6615199880
2681,307,7021141783
