instructions_covered,branches_covered,time_taken_nanos
395,27,10465899
398,28,10906985
841,50,14055424
841,50,14188506
844,51,14263889
847,52,14442307
910,57,18290642
913,58,18384941
974,63,20264905
977,64,20511232
1041,72,22074765
1044,73,22210963
1104,78,25467817
1107,79,25761474
1385,91,28727616
1385,91,28853235
1388,92,29573670
1457,100,30542186
1460,101,30902519
1524,106,31266259
1527,107,31350909
1714,116,31457090
1717,117,31552191
1940,125,32604455
1943,126,32780308
1944,127,34183759
1944,127,59433993
1944,127,83396527
1945,128,1152720047
