instructions_covered,branches_covered,time_taken_nanos
338,31,9121733
341,32,9200853
585,49,11338884
588,50,11482837
644,58,12988890
644,58,13072418
698,65,16371659
1162,92,16571337
1165,93,16667620
1168,94,16919106
1168,96,17137219
1226,105,22042464
1229,106,22460425
1288,113,23618660
1291,114,23991306
1346,122,28192866
1349,123,29137305
1405,130,32481902
1408,131,33202798
1482,138,33461779
1485,139,33599760
1535,147,33775864
1535,147,33861826
1590,154,35553031
1593,155,35837750
1646,162,38636313
1649,163,38736743
1713,170,41442930
1716,171,41580892
1768,177,44347794
1771,178,44673361
1809,183,45316930
1812,184,45590699
1876,191,47615715
1879,192,47827256
1934,197,51798591
1965,199,51952553
1968,200,52139366
2263,218,53746972
2266,219,53974974
2384,223,54097166
2384,223,54210641
2394,224,54440546
2429,227,54828050
2537,249,54975820
2586,253,55201097
2593,255,55298041
2596,256,55900442
2656,260,59208880
2664,262,59476838
2667,263,59851217
2780,267,65795550
2812,269,65965512
2812,269,66241605
2815,270,66453366
2843,276,67348492
2846,277,67633552
3121,289,68382161
3137,291,68581639
3137,291,68684053
3140,292,69100953
3140,292,69544002
3177,294,71180593
3264,301,74058645
3264,301,74342764
3267,302,74432734
3319,308,77344100
3322,309,77800034
3378,315,80186134
3428,321,80482947
3431,322,80630326
3431,323,82073471
3434,324,96559807
3434,324,206983561
3437,325,252274020
3437,325,281428417
3437,325,582793107
3437,325,2067517856
