instructions_covered,branches_covered,time_taken_nanos
304,18,10463194
305,19,10883260
412,26,13683115
415,27,13810326
606,42,17566132
609,43,17704835
671,48,19437658
740,55,19779656
740,55,19873013
839,62,21632977
839,62,21748616
903,68,22737229
906,69,22869490
973,75,24208827
976,76,24395361
1077,83,25761249
1080,84,25882018
1167,93,30062088
1170,94,30146868
1265,100,30989585
1336,107,31292699
1339,108,31652240
1401,113,33241040
1404,114,33396585
1408,115,36073126
1411,116,73474530
1411,116,90858586
1414,117,94019986
