instructions_covered,branches_covered,time_taken_nanos
250,14,10163157
253,15,10301238
253,15,10403893
451,30,11643622
451,30,11726789
454,31,11837229
454,33,12065140
508,41,15386834
511,42,15502613
585,54,18173364
588,55,18262302
588,55,18351942
1059,102,18668001
1243,125,21893913
1243,125,22078142
1246,126,22441821
1250,127,22877928
1254,129,25203163
1254,129,49758308
1361,139,51230568
1361,139,53283067
1361,139,53705928
1361,139,54663943
1361,139,56827292
1361,139,75236852
1361,139,75544245
1476,147,76174669
1476,147,87500018
1479,148,92332884
1479,148,94164164
1479,148,94537431
1586,154,95459889
1586,154,96141821
1586,154,96306743
1586,154,103761558
1586,154,106395229
1586,154,114700194
1586,154,121334905
1586,154,127729811
1586,154,135172984
1586,154,139449647
1693,160,146537126
1693,160,150082163
1693,160,154438897
1696,161,173653082
1696,161,179147613
1831,166,192580715
1831,166,205909429
1831,166,207029832
1831,166,222419100
1831,166,227157247
1831,166,227938177
1831,166,229609373
1831,166,239200326
1831,166,246132390
1831,166,252306658
1831,166,259235296
1831,166,270220670
2014,172,286532045
2014,172,292694090
2014,172,295817829
2014,172,315229749
2014,172,326372160
2014,172,355049656
2014,172,363062739
2014,172,364573351
2014,172,432778640
2014,172,438241050
2014,172,453358232
2014,172,453996241
2014,172,457362930
2014,172,464734798
2014,172,465841524
2014,172,471202021
2014,172,479556490
2014,172,499044194
2014,172,518785037
2014,172,523646037
2014,172,529114719
2014,172,537142018
2014,172,562071682
2014,172,565040457
2014,172,567407743
2014,172,579546312
2014,172,580525167
2014,172,589465166
2014,172,610322865
2014,172,618031049
2014,172,618295761
2014,172,628621094
2014,172,636464125
2014,172,648261016
2014,172,709051617
2014,172,717919198
2014,172,720989095
2014,172,730054281
2014,172,735223685
2014,172,736981927
2014,172,740132746
2014,172,749777360
2014,172,751771298
2014,172,754374480
2014,172,763993335
2014,172,778154707
2014,172,872183554
2014,172,873444974
2014,172,880046753
2014,172,894135637
2014,172,897300634
2014,172,901561477
2014,172,905327603
2014,172,918879449
2014,172,925237446
2014,172,929103060
2014,172,948475475
2014,172,951301189
2014,172,953613300
2014,172,954012747
2014,172,959644688
2014,172,966034174
2014,172,996969337
2014,172,1000747786
2014,172,1005904136
2014,172,1028479390
2014,172,1029539789
2014,172,1036564048
2014,172,1037751147
2014,172,1046862159
2014,172,1135933493
2014,172,1141880161
2014,172,1142678082
2014,172,1143170555
2014,172,1150900342
2014,172,1156180957
2014,172,1166678396
2014,172,1172508382
2014,172,1178767922
2014,172,1208700917
2014,172,1226384492
2014,172,1235690133
2014,172,1236827098
2032,176,1240394387
2032,176,1283852297
2032,176,1296478380
2032,176,1302047271
2032,176,1312372304
2032,176,1317713164
2032,176,1348101591
2032,176,1365773454
2032,176,1374154363
2032,176,1380798813
2032,176,1400868288
2032,176,1429723110
2032,176,1444625436
2032,176,1448989234
2032,176,1454775166
2032,176,1513099233
2032,176,1522429391
2032,176,1530177131
2032,176,1534009121
2032,176,1556182834
2032,176,1562426404
2032,176,1574979509
2032,176,1591798706
2032,176,1596417467
2032,176,1597631918
2032,176,1598312628
2032,176,1600706805
2032,176,1644510800
2032,176,1651409882
2032,176,1738171270
2032,176,1747912777
2032,176,1763746808
2032,176,1764190118
2032,176,1772604411
2032,176,1782772556
2032,176,1798975657
2032,176,1802588552
2032,176,1803761544
2032,176,1804776297
2032,176,1813966059
2032,176,1841120389
2032,176,1842011758
2032,176,1865517534
2032,176,1866960959
2032,176,1871071617
2032,176,1884733563
2032,176,1886830005
2032,176,1887473474
2032,176,1888402865
2032,176,1890684658
2032,176,1892076225
2035,177,1924472787
2048,179,2435347738
2048,179,2843498255
2048,179,3450322533
2048,179,5351607745
