instructions_covered,branches_covered,time_taken_nanos
2279,139,10362063
2330,145,10514933
2332,146,10714731
2375,153,12609120
2375,153,12707958
2444,159,13366996
2447,160,13500850
2500,165,14002390
2502,166,14151783
2544,171,15638871
2546,172,15803994
2583,177,15942947
2583,178,16028379
2613,184,17748779
2613,184,17967684
2658,194,21032350
2660,195,21321939
2749,200,22961956
2752,201,23076513
2800,206,25162957
2800,207,25334943
2851,213,27059200
2852,214,27173757
2914,225,29193975
2917,226,29293954
2978,239,33234370
2978,239,33326835
2980,240,34515187
2983,241,39078794
