instructions_covered,branches_covered,time_taken_nanos
516,35,9784529
517,36,10347917
623,46,14107049
623,46,14204574
624,47,14391388
954,62,14588722
1003,69,15762826
1006,70,15846345
1076,75,18970885
1079,76,19179450
1395,92,21872212
1395,92,22060028
1398,93,22257292
1445,100,22713356
1445,100,22785904
1483,105,25664277
1486,106,25741283
1577,116,26035080
1577,116,26152903
1607,118,26277158
1775,127,27054591
2031,138,30928692
2034,139,31779594
2095,145,35174427
2098,146,35585956
2099,147,36868817
2099,147,62514559
2099,147,64782546
2100,148,83463042
