instructions_covered,branches_covered,time_taken_nanos
512,35,8225216
590,44,8405147
934,59,8580890
937,60,8709032
937,60,8812028
976,66,10795396
979,67,11055508
1041,73,11760414
1044,74,12198544
1151,79,14875206
1154,80,15395853
1263,86,19662407
1266,87,19743461
1313,94,22574184
1313,94,22876317
1426,100,25730435
1426,100,25840343
1595,105,29306681
1598,106,29766352
1707,114,29907139
1868,122,30030122
1868,122,30143557
1871,123,30389693
2303,159,31985817
2379,168,32582067
2382,169,32717824
2447,175,33389898
2450,176,33630945
2568,181,35763435
2570,184,36112046
2573,185,36366759
2613,186,40307996
2616,187,40433464
2616,187,92016012
2619,188,98129065
2624,190,102617069
2627,191,222760846
2627,191,251538344
2627,191,2924088010
