instructions_covered,branches_covered,time_taken_nanos
374,21,9134829
374,21,9247282
377,22,9735417
380,23,9830657
431,31,13685201
434,32,13905599
807,50,14616325
808,51,14796156
808,51,14895454
811,52,15080395
1104,68,16717797
1104,68,16853565
1104,68,17133184
1104,68,17511251
1107,69,18009856
1195,82,18274547
1198,83,18397841
1358,91,18546572
1407,99,20125885
1410,100,20243488
1637,110,22107750
1637,110,22211647
1708,117,28428477
1711,118,28702175
1950,124,31109507
1953,125,31885447
1997,130,35654088
2000,131,35803321
2004,132,37937795
2005,133,351994432
