instructions_covered,branches_covered,time_taken_nanos
102,10,8874977
105,11,9007428
148,17,11373531
151,18,11459734
215,24,11983737
215,24,12116599
295,29,13777697
298,30,13919175
359,36,17452570
362,37,18302560
446,43,19153773
449,44,19541217
488,50,23202725
488,50,23361997
552,55,25157259
555,56,25493095
611,64,26420112
614,65,26566238
658,71,28771407
658,71,28849275
751,79,32345971
754,80,32660376
840,86,32923174
843,87,33231398
926,93,38275366
929,94,38995280
993,99,41001591
996,100,41432658
1063,106,45015938
1063,106,45150072
1146,112,48254605
1149,113,48824534
1217,119,51372603
1220,120,51464416
1284,125,55219351
1287,126,55571699
1332,130,55875414
