instructions_covered,branches_covered,time_taken_nanos
522,32,8210648
522,32,8462074
581,37,13130931
584,38,13221422
667,45,14077485
667,46,14360741
732,54,17279341
732,54,17380183
798,60,18178525
801,61,18280559
847,68,19548531
847,68,19683567
911,73,20334481
914,74,20631323
978,80,21330208
981,81,21498166
1043,87,22994381
1138,93,23125530
1141,94,23317313
1449,102,25199700
1484,105,25299359
1487,106,25471084
1520,108,25594007
1587,114,29981811
1590,115,30297910
1599,117,33399807
1599,117,33467065
1602,118,70727166
1605,119,176038704
