instructions_covered,branches_covered,time_taken_nanos
516,28,9821270
519,29,10087294
573,34,10232098
573,35,10418211
724,44,14937694
754,46,15095924
1092,60,15322784
1095,61,15565304
1156,66,17502925
1159,67,17982183
1203,73,18849416
1206,74,18979833
1267,79,20060712
1270,80,20156844
1338,88,22923616
1341,89,23054875
1396,95,24486598
1399,96,24566379
1499,101,26360389
1502,102,26501386
1542,107,29811388
1545,108,29882182
1696,119,31105240
1726,121,31200360
1887,129,31365964
1987,134,32022828
1990,135,32334769
2138,144,37364490
2138,144,37576000
2322,154,38010093
2363,157,38296436
2363,158,38909146
2428,166,39652375
2428,166,39728960
2431,167,40065648
2490,172,42561176
2493,173,42967075
2564,178,45525143
2567,179,45699613
2568,180,46960403
2571,181,85527040
