instructions_covered,branches_covered,time_taken_nanos
509,34,9362481
593,42,9539957
956,57,9711152
959,58,9830828
959,58,9931569
993,64,11976925
994,65,12236487
1054,71,12898541
1057,72,13306093
1167,77,15728213
1170,78,16216768
1279,84,20031277
1282,85,20120095
1326,92,23156629
1326,92,23298548
1441,98,26068236
1441,98,26186039
1610,103,30165750
1613,104,30717245
1722,112,30890784
1883,120,31036109
1883,120,31184721
1886,121,31488045
2318,157,33364381
2321,158,33882492
2396,168,34108851
2396,168,34203360
2460,174,38442533
2463,175,38644095
2585,181,42815950
2585,181,42932671
2585,184,44338846
2625,185,48231522
2628,186,48846918
2631,187,54233375
2631,187,85898365
2636,189,112099403
2636,189,158105127
2636,189,1625044701
