instructions_covered,branches_covered,time_taken_nanos
363,24,8249371
365,25,8706427
442,31,12269329
472,33,12444581
475,34,12631856
812,48,12789484
891,53,15612103
894,54,15769741
969,60,19343132
972,61,20159960
1165,74,21655013
1168,75,21828281
1168,75,21948279
1406,84,24365640
1448,87,24472442
1451,88,24605394
1451,88,25886321
1493,94,26131606
1496,95,26327617
1568,103,29197034
1568,103,29300881
1613,106,29401091
1883,117,29709205
2113,126,32103271
2116,127,32430371
2181,133,34606855
2184,134,34811923
2188,135,35069241
2188,135,70380371
2189,136,305084946
