instructions_covered,branches_covered,time_taken_nanos
466,32,9936338
466,32,10065402
469,33,10508252
471,34,10660801
570,43,14763856
573,44,14907478
620,47,15067571
679,52,16301299
682,53,16543889
725,59,20667713
728,60,20918358
791,66,22951320
794,67,23230128
836,73,27455254
968,93,27682846
1068,100,27815597
1071,101,28271551
1071,101,31022073
1118,109,32501406
1118,109,32606906
1181,114,33480221
1184,115,34500805
1247,120,37360213
1250,121,37682454
1258,123,41396943
1270,125,43226820
1273,126,77045062
1273,126,80293557
1303,129,161101009
