instructions_covered,branches_covered,time_taken_nanos
721,78,10128843
760,79,10228702
762,80,10312792
863,90,10450453
865,91,10653447
998,99,13132195
1106,112,13301075
1109,113,13399902
1156,120,15806181
1156,120,15933533
1461,134,17658381
1464,135,17755114
1464,135,17925307
1524,140,19379643
1527,141,19679461
1618,149,20944368
1621,150,21024560
1682,156,21507495
1685,157,21669312
1750,164,22686258
1753,165,22853235
1877,175,26208864
1880,176,26366262
1963,183,29275915
1966,184,29505200
2013,192,31856455
2016,193,32018112
2268,202,33286034
2271,203,33938310
2330,215,36472031
2330,215,36562563
2332,216,36938485
2335,217,43506160
2338,218,50182241
2338,218,63141217
2338,218,103944606
2339,219,657797952
