instructions_covered,branches_covered,time_taken_nanos
305,24,8653949
306,25,8786470
444,32,8918089
444,32,8990056
524,38,11464986
565,45,11802676
565,45,11894971
632,50,13364936
635,51,13575205
702,57,17840146
705,58,17991653
1021,78,19851939
1031,81,20165563
1031,81,20327349
1034,82,20563327
1229,89,21547742
1232,90,21884470
1300,96,27049437
1300,96,27151020
1430,101,31248925
1433,102,31549805
1527,109,31946457
1587,114,32380529
1590,115,32507670
1658,121,35300943
1661,122,35488769
1773,130,39563861
1776,131,39823493
1836,136,40825281
1839,137,41021343
1840,138,43497485
1843,139,54101208
