instructions_covered,branches_covered,time_taken_nanos
538,30,9456660
541,31,9573020
730,46,9723676
733,47,10043812
778,56,12098496
778,56,12216028
902,66,14571031
905,67,14641915
908,68,14755290
969,73,16282063
972,74,16603673
1165,84,19564273
1168,85,20011981
1435,98,22055433
1438,99,22251905
1504,106,22629641
1508,107,22708070
1968,147,22936934
1968,147,23040660
1977,149,23143164
2014,155,26570179
2017,156,26638007
2084,161,27756286
2087,162,28376341
2128,168,28947734
2128,168,29018398
2146,173,31181026
2146,173,31404489
2276,186,31681534
2279,187,31860323
2537,200,33261568
2540,201,33575153
2733,216,35818604
2736,217,36826944
2737,218,39002487
