instructions_covered,branches_covered,time_taken_nanos
464,31,8886049
466,32,9409531
584,42,12536677
922,57,12717329
922,57,12811828
925,58,13333377
967,65,15935458
970,66,16015239
1292,83,18361585
1292,83,18498765
1295,84,18661133
1336,90,22771732
1339,91,23001748
1377,96,23518357
1380,97,23587277
1659,116,26527649
1659,116,26682443
1662,117,27075738
1665,118,27351861
1924,130,28136348
1924,130,28234534
1992,136,29861427
1995,137,30063750
1998,138,31727102
1998,138,127358810
1998,138,130597257
1999,139,638341542
