instructions_covered,branches_covered,time_taken_nanos
467,38,8238653
470,39,8318705
578,49,8524244
581,50,8761925
702,57,12061878
702,57,12144034
793,65,14715887
793,65,14820576
898,74,18023906
901,75,18364441
1053,80,19534478
1056,81,19926140
1206,86,24679348
1209,87,25130192
1264,94,29114773
1267,95,29522295
1320,101,34043353
1323,102,34185552
1674,137,37660888
1925,155,38403054
1960,163,38995356
1960,163,39071921
2063,174,41482980
2064,177,43963541
2064,177,44216881
2123,185,44676753
2123,185,45475596
2174,188,75574444
2207,190,94123624
2581,219,97827242
2604,224,98297012
2605,225,98474158
2649,228,100335144
2682,230,106976219
2682,230,110584487
2730,235,111794260
2769,237,150790477
2771,238,182497962
2771,238,233997143
2773,239,243418075
2807,248,249057151
2810,250,250054962
2811,251,251033336
2811,251,267365545
3070,268,1259821458
