instructions_covered,branches_covered,time_taken_nanos
312,18,8388907
312,18,8576944
315,19,8737318
318,20,8972794
451,31,12285952
451,31,12377566
770,46,12552227
771,47,12884376
815,53,17348576
818,54,17497929
939,59,18554371
942,60,18669249
972,62,18855091
1187,72,18972624
1203,74,19091028
1238,77,19632013
1306,81,20103497
1309,82,20624073
1312,83,21017108
1385,88,23970995
1388,89,24084941
1444,96,26218434
1476,98,26422050
1476,98,26966071
1562,105,30623652
1565,106,31256211
1839,119,31909238
1839,119,32013556
1881,122,32125859
1881,122,32664139
1933,129,34783836
1933,129,34871241
1936,130,35035523
1977,135,35618668
1980,136,35916081
2137,148,37184154
2317,158,37351802
2320,159,37516444
2578,170,38074271
2581,171,38278719
2581,171,38437720
2581,171,38540435
2582,172,38808463
2650,178,39035603
2654,179,39150541
2654,179,89621112
2657,180,102207323
2660,181,166128363
2660,181,166244824
